TIME;PASSENGERS;INFORMATION;SAFETY;STATION;TRIP_TRANSPORT;CHARACTERISTICS;GENDER;DRIVING_LIC;PRIVATE_CAR_USE;TWOWH_USE;BIKE_USE;NONE_ABOVE;AGE;EDUCATION_LVL;JOB;PPL_IN_HOUSE;FAMILY_INCOME
2,33;,79;2,6;2,67;2,12;2,09;1,09;2;0;0;0;0;1;1;2;1;4;1
2,67;,43;2,6;3;2,41;1,45;,82;2;0;0;0;0;1;1;1;1;2;1
 ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3;,92;2,6;3;3;2,73;1,45;2;1;1;1;1;1;1;1;2;4;1
3,33;,71;2;2,67;2,41;2,45;,73;2;0;0;0;1;0;1;1;1;1;1
4;,93;2,8;3,67;3,41;2,55;,91;2;0;0;0;1;0;1;1;1;3;1
2,67;,57;1,6;1,33;1,59;1,64;1,2;2;1;0;0;0; ;1;2;1;4;1
2,33;,57;1,8;3;2,18;1,91;1,2;1;1;1;0;1; ;1;1;1;3;2
 ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
4;,79;3;3,67;2,71;2,27;1,18;1;1;1;0;1;0;1;1;1;4;2
2,33;,57;1,6;1,67;2,06;2;1;2;0;0;0;1;0;1;1;1;4;1
3,67;,79;3,4;2,67;3,35;2,45;1,45;2;1;0;0;1;0;1;2;4;3;2
3;,71;2,4;3;2,88;2,36;,91;1;0;0;0;1;0;1;1;1;3;2
2,67;,71;2;4,33;3,24;2,45;1,18;2;0;1;0;1;0;1;1;1;3;3
3;,93;3,2;3,67;3,29;2,73;1,55;2;1;1;1;1;0;1;1;1;5;3
3;,86;3;3,33;3,12;2,73;1,18;2;1;0;0;1;0;1;1;1;4;2
3,33;,79;2,8;4;3,24;2,45;1;2;0;0;0;1;0;1;2;1;3;1
3,33;,71;2,8;3;3;2,27;,91;2;1;0;0;1;0;1;1;1;1;2
5;1;4,2;5;4,35;3,09;1,6;2;1;0;0;1; ;3;2;2;4;1
5;,86;3,8;4,67;4;3;1,5;1;1;1;0;0; ;3;2;2;3;2
3,33;1,07;3,4;5;4,06;3,18;1,7;1;1;1;0;1; ;3;2;2;4;2
3;,86;2,2;2,67;2,53;3;1;1;1;0;0;0; ;2;2;2;1;1
1,33;,57;3,4;1,67;1,94;2,64;1,09;2;0;0;0;1;0;1;1;1;4;2
2,67;,57;2,4;2;2,65;2,45;,64;1;0;0;0;1;0;1;1;1;1;1
 ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3;,71;2,2;2,33;2,65;2,18;1,18;2;0;0;0;0;1;1;2;1;4;2
4;,64;2,8;3;3;2,36;1;2;0;0;0;1;0;1;1;1;4;1
3;,64;1,4;1,67;1,88;2,18;1,4;2;0;0;0;1; ;1;1;1;5;3
3;,71;2,4;2,33;2,65;2,27;1;2;1;0;0;0; ;1;2;1;1;2
3;,57;3;3,33;3,65;2,55;1,18;2;1;0;0;0;1;1;2;2;1;3
 ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3,33;,86;2,2;3,67;3,12;2,64;1,8;2;1;1;0;1; ;3;2;2;4;2
2,33;,57;2,2;2,67;2,94;2,45;1,6;2;1;1;0;1; ;1;2;1;5;2
2,33;,43;2,4;2,33;2,18;2,27;1,4;2;0;0;0;1; ;1;2;1;5;2
4;1;3,6;4;3,53;3;1,18;1;1;1;0;1;0;1;1;1;4;2
2,67;,79;2,8;4;3,35;2,55;1,09;2;0;0;0;1;0;1;1;1;3;3
1,33;,64;2;2,33;1,82;2,73;,91;2;1;1;0;1;0;1;1;1;1;1
2,33;,64;2;2,67;2,47;2,45;1,82;1;1;0;0;1;0;1;1;1;12;2
3,33;,93;2,2;3,33;2,59;2,55;1,09;2;0;0;0;1;0;1;1;1;4;2
3;,64;2,4;4;3,29;2,18;1;1;1;1;1;1;0;1;1;2;1;1
2,67;,86;2,4;3,67;2,71;2,45;,91;1;1;1;0;1;1;1;1;1;1;1
3;,64;1,8;1,67;2,41;2,27;,8;2;0;0;0;1; ;1;1;1;1;1
3,67;,64;2,6;2,67;2,41;2,45;1,18;1;0;1;0;1;0;1;1;1;4;3
3,33;,71;2,6;3,33;3,12;2,18;1,1;2;1;0;0;0; ;1;1;1;4;1
3;,93;3,6;4,33;3,71;2,91;,73;2;0;0;0;0;1;1;1;1;1;1
1,67;,71;2;1,33;2,35;2,64;1,1;2;0;0;0;1; ;1;2;2;2;1
3;,57;2,2;2,67;2,82;2,36;1,27;1;1;1;0;1;0;1;1;1;4;3
2,33;,64;1,6;1,67;2,29;2,82;1,73;1;1;1;0;1;0;1;2;5;5;2
3,33;,93;2,8;4,33;3,47;2,27;,73;2;0;0;0;1;0;1;1;1;1;1
3;,86;4;3,33;3,71;2,82;1,45;1;1;1;1;1;0;2;0;6;2;1
2;,86;2,6;2,67;2,47;2,73;1,7;1;0;0;0;1; ;2;2;6;4;1
3,67;,86;2,2;4;2,88;2,27;1,7;2;1;1;0;1; ;2;2;2;3;3
